CLASSIFICATION_PLOT	.y.	group1	group2	p	p.adj	p.format	p.signif	method
1	MSH2_MSH6	Fraction_Genome_Altered	Bladder	Colon	0.0328932614612439	1	0.03289	*	Wilcoxon
2	MSH2_MSH6	Fraction_Genome_Altered	Bladder	Esophagogastric	0.38928427309766	1	0.38928	ns	Wilcoxon
3	MSH2_MSH6	Fraction_Genome_Altered	Bladder	Pancreas	0.571428571428571	1	0.57143	ns	Wilcoxon
4	MSH2_MSH6	Fraction_Genome_Altered	Bladder	Colorectal	0.547619047619048	1	0.54762	ns	Wilcoxon
5	MSH2_MSH6	Fraction_Genome_Altered	Bladder	Prostate	0.380952380952381	1	0.38095	ns	Wilcoxon
6	MSH2_MSH6	Fraction_Genome_Altered	Bladder	Small Bowel	0.19047619047619	1	0.19048	ns	Wilcoxon
7	MSH2_MSH6	Fraction_Genome_Altered	Bladder	Endometrial	0.0338837289301686	1	0.03388	*	Wilcoxon
8	MSH2_MSH6	Fraction_Genome_Altered	Bladder	Rectal	0.0567578561269589	1	0.05676	ns	Wilcoxon
9	MSH2_MSH6	Fraction_Genome_Altered	Bladder	Other	0.841269841269841	1	0.84127	ns	Wilcoxon
10	MSH2_MSH6	Fraction_Genome_Altered	Bladder	Ovarian	0.241032444383939	1	0.24103	ns	Wilcoxon
11	MSH2_MSH6	Fraction_Genome_Altered	Colon	Esophagogastric	1	1	1.00000	ns	Wilcoxon
12	MSH2_MSH6	Fraction_Genome_Altered	Colon	Pancreas	0.0359041887028465	1	0.03590	*	Wilcoxon
13	MSH2_MSH6	Fraction_Genome_Altered	Colon	Colorectal	0.0878765299785054	1	0.08788	ns	Wilcoxon
14	MSH2_MSH6	Fraction_Genome_Altered	Colon	Prostate	0.674776105811689	1	0.67478	ns	Wilcoxon
15	MSH2_MSH6	Fraction_Genome_Altered	Colon	Small Bowel	1	1	1.00000	ns	Wilcoxon
16	MSH2_MSH6	Fraction_Genome_Altered	Colon	Endometrial	0.729199361328765	1	0.72920	ns	Wilcoxon
17	MSH2_MSH6	Fraction_Genome_Altered	Colon	Rectal	0.908440619118473	1	0.90844	ns	Wilcoxon
18	MSH2_MSH6	Fraction_Genome_Altered	Colon	Other	0.00554740854840095	0.99	0.00555	**	Wilcoxon
19	MSH2_MSH6	Fraction_Genome_Altered	Colon	Ovarian	0.435825885958428	1	0.43583	ns	Wilcoxon
20	MSH2_MSH6	Fraction_Genome_Altered	Esophagogastric	Pancreas	0.481120001127239	1	0.48112	ns	Wilcoxon
21	MSH2_MSH6	Fraction_Genome_Altered	Esophagogastric	Colorectal	0.712154537651149	1	0.71215	ns	Wilcoxon
22	MSH2_MSH6	Fraction_Genome_Altered	Esophagogastric	Prostate	1	1	1.00000	ns	Wilcoxon
23	MSH2_MSH6	Fraction_Genome_Altered	Esophagogastric	Small Bowel	0.805732790848439	1	0.80573	ns	Wilcoxon
24	MSH2_MSH6	Fraction_Genome_Altered	Esophagogastric	Endometrial	1	1	1.00000	ns	Wilcoxon
25	MSH2_MSH6	Fraction_Genome_Altered	Esophagogastric	Rectal	0.717658646991889	1	0.71766	ns	Wilcoxon
26	MSH2_MSH6	Fraction_Genome_Altered	Esophagogastric	Other	0.268340589095882	1	0.26834	ns	Wilcoxon
27	MSH2_MSH6	Fraction_Genome_Altered	Esophagogastric	Ovarian	1	1	1.00000	ns	Wilcoxon
28	MSH2_MSH6	Fraction_Genome_Altered	Pancreas	Colorectal	0.19047619047619	1	0.19048	ns	Wilcoxon
29	MSH2_MSH6	Fraction_Genome_Altered	Pancreas	Prostate	0.333333333333333	1	0.33333	ns	Wilcoxon
30	MSH2_MSH6	Fraction_Genome_Altered	Pancreas	Small Bowel	0.333333333333333	1	0.33333	ns	Wilcoxon
31	MSH2_MSH6	Fraction_Genome_Altered	Pancreas	Endometrial	0.0333333333333333	1	0.03333	*	Wilcoxon
32	MSH2_MSH6	Fraction_Genome_Altered	Pancreas	Rectal	0.159637182997464	1	0.15964	ns	Wilcoxon
33	MSH2_MSH6	Fraction_Genome_Altered	Pancreas	Other	0.857142857142857	1	0.85714	ns	Wilcoxon
34	MSH2_MSH6	Fraction_Genome_Altered	Pancreas	Ovarian	0.333333333333333	1	0.33333	ns	Wilcoxon
35	MSH2_MSH6	Fraction_Genome_Altered	Colorectal	Prostate	0.19047619047619	1	0.19048	ns	Wilcoxon
36	MSH2_MSH6	Fraction_Genome_Altered	Colorectal	Small Bowel	0.857142857142857	1	0.85714	ns	Wilcoxon
37	MSH2_MSH6	Fraction_Genome_Altered	Colorectal	Endometrial	0.0557275541795666	1	0.05573	ns	Wilcoxon
38	MSH2_MSH6	Fraction_Genome_Altered	Colorectal	Rectal	0.242933685475229	1	0.24293	ns	Wilcoxon
39	MSH2_MSH6	Fraction_Genome_Altered	Colorectal	Other	0.150793650793651	1	0.15079	ns	Wilcoxon
40	MSH2_MSH6	Fraction_Genome_Altered	Colorectal	Ovarian	0.0952380952380952	1	0.09524	ns	Wilcoxon
41	MSH2_MSH6	Fraction_Genome_Altered	Prostate	Small Bowel	1	1	1.00000	ns	Wilcoxon
42	MSH2_MSH6	Fraction_Genome_Altered	Prostate	Endometrial	0.7	1	0.70000	ns	Wilcoxon
43	MSH2_MSH6	Fraction_Genome_Altered	Prostate	Rectal	0.74553748053554	1	0.74554	ns	Wilcoxon
44	MSH2_MSH6	Fraction_Genome_Altered	Prostate	Other	0.0952380952380952	1	0.09524	ns	Wilcoxon
45	MSH2_MSH6	Fraction_Genome_Altered	Prostate	Ovarian	0.333333333333333	1	0.33333	ns	Wilcoxon
46	MSH2_MSH6	Fraction_Genome_Altered	Small Bowel	Endometrial	0.873752613432363	1	0.87375	ns	Wilcoxon
47	MSH2_MSH6	Fraction_Genome_Altered	Small Bowel	Rectal	0.826890166299142	1	0.82689	ns	Wilcoxon
48	MSH2_MSH6	Fraction_Genome_Altered	Small Bowel	Other	0.380952380952381	1	0.38095	ns	Wilcoxon
