CLASSIFICATION_PLOT	.y.	group1	group2	p	p.adj	p.format	p.signif	method
1	MSH2_MSH6	No_Missense	Bladder	Colon	0.0463207058154644	1	0.0463	*	Wilcoxon
2	MSH2_MSH6	No_Missense	Bladder	Esophagogastric	0.902116593107254	1	0.9021	ns	Wilcoxon
3	MSH2_MSH6	No_Missense	Bladder	Pancreas	0.114652641684495	1	0.1147	ns	Wilcoxon
4	MSH2_MSH6	No_Missense	Bladder	Colorectal	0.0344536370394713	1	0.0345	*	Wilcoxon
5	MSH2_MSH6	No_Missense	Bladder	Prostate	0.0786428966689894	1	0.0786	ns	Wilcoxon
6	MSH2_MSH6	No_Missense	Bladder	Small Bowel	0.0786428966689894	1	0.0786	ns	Wilcoxon
7	MSH2_MSH6	No_Missense	Bladder	Endometrial	0.745478512508865	1	0.7455	ns	Wilcoxon
8	MSH2_MSH6	No_Missense	Bladder	Rectal	0.581203291715217	1	0.5812	ns	Wilcoxon
9	MSH2_MSH6	No_Missense	Bladder	Other	0.401965358356735	1	0.4020	ns	Wilcoxon
10	MSH2_MSH6	No_Missense	Bladder	Ovarian	0.693281817504481	1	0.6933	ns	Wilcoxon
11	MSH2_MSH6	No_Missense	Colon	Esophagogastric	0.935322014582588	1	0.9353	ns	Wilcoxon
12	MSH2_MSH6	No_Missense	Colon	Pancreas	0.718839441373282	1	0.7188	ns	Wilcoxon
13	MSH2_MSH6	No_Missense	Colon	Colorectal	0.971611370212113	1	0.9716	ns	Wilcoxon
14	MSH2_MSH6	No_Missense	Colon	Prostate	0.0550880226921398	1	0.0551	ns	Wilcoxon
15	MSH2_MSH6	No_Missense	Colon	Small Bowel	0.952216412947944	1	0.9522	ns	Wilcoxon
16	MSH2_MSH6	No_Missense	Colon	Endometrial	0.0330521059604331	1	0.0331	*	Wilcoxon
17	MSH2_MSH6	No_Missense	Colon	Rectal	0.696424952610011	1	0.6964	ns	Wilcoxon
18	MSH2_MSH6	No_Missense	Colon	Other	0.0172058800539307	1	0.0172	*	Wilcoxon
19	MSH2_MSH6	No_Missense	Colon	Ovarian	0.134109292878259	1	0.1341	ns	Wilcoxon
20	MSH2_MSH6	No_Missense	Esophagogastric	Pancreas	1	1	1.0000	ns	Wilcoxon
21	MSH2_MSH6	No_Missense	Esophagogastric	Colorectal	1	1	1.0000	ns	Wilcoxon
22	MSH2_MSH6	No_Missense	Esophagogastric	Prostate	0.266666666666667	1	0.2667	ns	Wilcoxon
23	MSH2_MSH6	No_Missense	Esophagogastric	Small Bowel	1	1	1.0000	ns	Wilcoxon
24	MSH2_MSH6	No_Missense	Esophagogastric	Endometrial	0.595232767219125	1	0.5952	ns	Wilcoxon
25	MSH2_MSH6	No_Missense	Esophagogastric	Rectal	0.945054945054945	1	0.9451	ns	Wilcoxon
26	MSH2_MSH6	No_Missense	Esophagogastric	Other	0.19047619047619	1	0.1905	ns	Wilcoxon
27	MSH2_MSH6	No_Missense	Esophagogastric	Ovarian	0.8	1	0.8000	ns	Wilcoxon
28	MSH2_MSH6	No_Missense	Pancreas	Colorectal	0.693281817504481	1	0.6933	ns	Wilcoxon
29	MSH2_MSH6	No_Missense	Pancreas	Prostate	0.333333333333333	1	0.3333	ns	Wilcoxon
30	MSH2_MSH6	No_Missense	Pancreas	Small Bowel	0.333333333333333	1	0.3333	ns	Wilcoxon
31	MSH2_MSH6	No_Missense	Pancreas	Endometrial	0.266666666666667	1	0.2667	ns	Wilcoxon
32	MSH2_MSH6	No_Missense	Pancreas	Rectal	1	1	1.0000	ns	Wilcoxon
33	MSH2_MSH6	No_Missense	Pancreas	Other	0.380952380952381	1	0.3810	ns	Wilcoxon
34	MSH2_MSH6	No_Missense	Pancreas	Ovarian	0.333333333333333	1	0.3333	ns	Wilcoxon
35	MSH2_MSH6	No_Missense	Colorectal	Prostate	0.0786428966689894	1	0.0786	ns	Wilcoxon
36	MSH2_MSH6	No_Missense	Colorectal	Small Bowel	1	1	1.0000	ns	Wilcoxon
37	MSH2_MSH6	No_Missense	Colorectal	Endometrial	0.0295080276056011	1	0.0295	*	Wilcoxon
38	MSH2_MSH6	No_Missense	Colorectal	Rectal	0.759254457546827	1	0.7593	ns	Wilcoxon
39	MSH2_MSH6	No_Missense	Colorectal	Other	0.0361451420465623	1	0.0361	*	Wilcoxon
