.y.	group1	group2	p	p.adj	p.format	p.signif	method
1	No_Missense	Bladder	Colon	0.556346540362568	1	0.55635	ns	Wilcoxon
2	No_Missense	Bladder	Esophagogastric	0.189899747821905	1	0.18990	ns	Wilcoxon
3	No_Missense	Bladder	Pancreas	0.276093407982771	1	0.27609	ns	Wilcoxon
4	No_Missense	Bladder	Colorectal	0.916426264069001	1	0.91643	ns	Wilcoxon
5	No_Missense	Bladder	Biliary	0.0109937520924808	0.8	0.01099	*	Wilcoxon
6	No_Missense	Bladder	Prostate	0.120246041401214	1	0.12025	ns	Wilcoxon
7	No_Missense	Bladder	Small Bowel	0.0422866353304451	1	0.04229	*	Wilcoxon
8	No_Missense	Bladder	Endometrial	0.0025415515698092	0.19	0.00254	**	Wilcoxon
9	No_Missense	Bladder	Rectal	1	1	1.00000	ns	Wilcoxon
10	No_Missense	Bladder	CUP	0.110011642654524	1	0.11001	ns	Wilcoxon
11	No_Missense	Bladder	Other	0.0893902559589261	1	0.08939	ns	Wilcoxon
12	No_Missense	Bladder	Ovarian	0.0622529185807268	1	0.06225	ns	Wilcoxon
13	No_Missense	Colon	Esophagogastric	0.160624330605438	1	0.16062	ns	Wilcoxon
14	No_Missense	Colon	Pancreas	0.239395184114495	1	0.23940	ns	Wilcoxon
15	No_Missense	Colon	Colorectal	0.569064802002356	1	0.56906	ns	Wilcoxon
16	No_Missense	Colon	Biliary	0.0132274352629783	0.93	0.01323	*	Wilcoxon
17	No_Missense	Colon	Prostate	0.186968589185698	1	0.18697	ns	Wilcoxon
18	No_Missense	Colon	Small Bowel	0.012796428687605	0.91	0.01280	*	Wilcoxon
19	No_Missense	Colon	Endometrial	1.03787421311714e-08	8.1e-07	1e-08	****	Wilcoxon
20	No_Missense	Colon	Rectal	0.532175984740265	1	0.53218	ns	Wilcoxon
21	No_Missense	Colon	CUP	0.274602727720242	1	0.27460	ns	Wilcoxon
22	No_Missense	Colon	Other	0.0428802451914082	1	0.04288	*	Wilcoxon
23	No_Missense	Colon	Ovarian	0.115494327123229	1	0.11549	ns	Wilcoxon
24	No_Missense	Esophagogastric	Pancreas	0.159973602387356	1	0.15997	ns	Wilcoxon
25	No_Missense	Esophagogastric	Colorectal	0.20907224371163	1	0.20907	ns	Wilcoxon
26	No_Missense	Esophagogastric	Biliary	0.0804767471973136	1	0.08048	ns	Wilcoxon
27	No_Missense	Esophagogastric	Prostate	0.584720962260833	1	0.58472	ns	Wilcoxon
28	No_Missense	Esophagogastric	Small Bowel	0.0608624373497781	1	0.06086	ns	Wilcoxon
29	No_Missense	Esophagogastric	Endometrial	0.00307320995213555	0.23	0.00307	**	Wilcoxon
30	No_Missense	Esophagogastric	Rectal	0.236839319173134	1	0.23684	ns	Wilcoxon
31	No_Missense	Esophagogastric	CUP	0.6284429268423	1	0.62844	ns	Wilcoxon
32	No_Missense	Esophagogastric	Other	0.122521482373437	1	0.12252	ns	Wilcoxon
33	No_Missense	Esophagogastric	Ovarian	0.31019799865171	1	0.31020	ns	Wilcoxon
34	No_Missense	Pancreas	Colorectal	0.538788115129774	1	0.53879	ns	Wilcoxon
