Cancer_Type_NEW	.y.	group1	group2	p	p.adj	p.format	p.signif	method
1	Bladder	MSI_Score_1	MSH2_MSH6	MSH6	0.380952380952381	1	0.3810	ns	Wilcoxon
2	Bladder	MSI_Score_1	MSH2_MSH6	PMS2	0.333333333333333	1	0.3333	ns	Wilcoxon
3	Bladder	MSI_Score_1	MSH6	PMS2	0.666666666666667	1	0.6667	ns	Wilcoxon
4	Colon	MSI_Score_1	MSH2_MSH6	MLH1_PMS2	0.75077479340953	1	0.7508	ns	Wilcoxon
5	Colon	MSI_Score_1	MSH2_MSH6	Complex	0.127219815243915	1	0.1272	ns	Wilcoxon
6	Colon	MSI_Score_1	MSH2_MSH6	NORMAL	1	1	1.0000	ns	Wilcoxon
7	Colon	MSI_Score_1	MSH2_MSH6	MSH6	0.046844491284134	1	0.0468	*	Wilcoxon
8	Colon	MSI_Score_1	MSH2_MSH6	PMS2	0.0133427290273517	0.83	0.0133	*	Wilcoxon
9	Colon	MSI_Score_1	MLH1_PMS2	Complex	0.115542672730116	1	0.1155	ns	Wilcoxon
10	Colon	MSI_Score_1	MLH1_PMS2	NORMAL	0.918749324617708	1	0.9187	ns	Wilcoxon
11	Colon	MSI_Score_1	MLH1_PMS2	MSH6	0.0142350854876239	0.87	0.0142	*	Wilcoxon
12	Colon	MSI_Score_1	MLH1_PMS2	PMS2	0.00986091907193137	0.62	0.0099	**	Wilcoxon
13	Colon	MSI_Score_1	Complex	NORMAL	0.351048951048951	1	0.3510	ns	Wilcoxon
14	Colon	MSI_Score_1	Complex	MSH6	0.00559440559440559	0.36	0.0056	**	Wilcoxon
15	Colon	MSI_Score_1	Complex	PMS2	0.00559440559440559	0.36	0.0056	**	Wilcoxon
16	Colon	MSI_Score_1	NORMAL	MSH6	0.163636363636364	1	0.1636	ns	Wilcoxon
17	Colon	MSI_Score_1	NORMAL	PMS2	0.0727272727272727	1	0.0727	ns	Wilcoxon
18	Colon	MSI_Score_1	MSH6	PMS2	0.342857142857143	1	0.3429	ns	Wilcoxon
19	Esophagogastric	MSI_Score_1	MSH2_MSH6	MLH1_PMS2	0.434582481641305	1	0.4346	ns	Wilcoxon
20	Esophagogastric	MSI_Score_1	MSH2_MSH6	Complex	0.4	1	0.4000	ns	Wilcoxon
21	Esophagogastric	MSI_Score_1	MSH2_MSH6	NORMAL	1	1	1.0000	ns	Wilcoxon
22	Esophagogastric	MSI_Score_1	MLH1_PMS2	Complex	0.764705882352941	1	0.7647	ns	Wilcoxon
23	Esophagogastric	MSI_Score_1	MLH1_PMS2	NORMAL	0.658823529411765	1	0.6588	ns	Wilcoxon
24	Esophagogastric	MSI_Score_1	Complex	NORMAL	1	1	1.0000	ns	Wilcoxon
25	Pancreas	MSI_Score_1	MSH2_MSH6	MLH1_PMS2	1	1	1.0000	ns	Wilcoxon
26	Pancreas	MSI_Score_1	MSH2_MSH6	MSH6	0.666666666666667	1	0.6667	ns	Wilcoxon
27	Pancreas	MSI_Score_1	MLH1_PMS2	MSH6	1	1	1.0000	ns	Wilcoxon
28	Colorectal	MSI_Score_1	MSH2_MSH6	MLH1_PMS2	0.767898767898768	1	0.7679	ns	Wilcoxon
29	Colorectal	MSI_Score_1	MSH2_MSH6	NORMAL	1	1	1.0000	ns	Wilcoxon
30	Colorectal	MSI_Score_1	MSH2_MSH6	MSH6	0.571428571428571	1	0.5714	ns	Wilcoxon
31	Colorectal	MSI_Score_1	MSH2_MSH6	PMS2	0.333333333333333	1	0.3333	ns	Wilcoxon
32	Colorectal	MSI_Score_1	MLH1_PMS2	NORMAL	0.303696303696304	1	0.3037	ns	Wilcoxon
