Cancer_Type_NEW	.y.	group1	group2	p	p.adj	p.format	p.signif	method
1	Bladder	No_Frameshift	MSH2_MSH6	MSH6	0.328564983439197	1	0.329	ns	Wilcoxon
2	Bladder	No_Frameshift	MSH2_MSH6	PMS2	0.666666666666667	1	0.667	ns	Wilcoxon
3	Bladder	No_Frameshift	MSH6	PMS2	0.479500122186953	1	0.480	ns	Wilcoxon
4	Colon	No_Frameshift	MSH2_MSH6	MLH1_PMS2	0.0960214880535182	1	0.096	ns	Wilcoxon
5	Colon	No_Frameshift	MSH2_MSH6	Complex	0.767661981872749	1	0.768	ns	Wilcoxon
6	Colon	No_Frameshift	MSH2_MSH6	NORMAL	0.258905767589412	1	0.259	ns	Wilcoxon
7	Colon	No_Frameshift	MSH2_MSH6	MSH6	0.0283682140771023	1	0.028	*	Wilcoxon
8	Colon	No_Frameshift	MSH2_MSH6	PMS2	0.0283290560086737	1	0.028	*	Wilcoxon
9	Colon	No_Frameshift	MLH1_PMS2	Complex	0.119544625321599	1	0.120	ns	Wilcoxon
10	Colon	No_Frameshift	MLH1_PMS2	NORMAL	0.863433024871896	1	0.863	ns	Wilcoxon
11	Colon	No_Frameshift	MLH1_PMS2	MSH6	0.0297499425687423	1	0.030	*	Wilcoxon
12	Colon	No_Frameshift	MLH1_PMS2	PMS2	0.0431408920945216	1	0.043	*	Wilcoxon
13	Colon	No_Frameshift	Complex	NORMAL	0.203342283809449	1	0.203	ns	Wilcoxon
14	Colon	No_Frameshift	Complex	MSH6	0.020463665485035	1	0.020	*	Wilcoxon
15	Colon	No_Frameshift	Complex	PMS2	0.0202903399233653	1	0.020	*	Wilcoxon
16	Colon	No_Frameshift	NORMAL	MSH6	0.255756037304067	1	0.256	ns	Wilcoxon
17	Colon	No_Frameshift	NORMAL	PMS2	0.297517091364237	1	0.298	ns	Wilcoxon
18	Colon	No_Frameshift	MSH6	PMS2	0.309424060364659	1	0.309	ns	Wilcoxon
