Cancer_Type_NEW	.y.	group1	group2	p	p.adj	p.format	p.signif	method
1	Bladder	No_INFRAME_Del	MSH2_MSH6	MSH6	0.143151589732787	1	0.143	ns	Wilcoxon
2	Bladder	No_INFRAME_Del	MSH2_MSH6	PMS2	0.342781711147911	1	0.343	ns	Wilcoxon
3	Colon	No_INFRAME_Del	MSH2_MSH6	MLH1_PMS2	0.719249919802862	1	0.719	ns	Wilcoxon
4	Colon	No_INFRAME_Del	MSH2_MSH6	Complex	0.516076363672894	1	0.516	ns	Wilcoxon
5	Colon	No_INFRAME_Del	MSH2_MSH6	NORMAL	0.0489238809976542	1	0.049	*	Wilcoxon
6	Colon	No_INFRAME_Del	MSH2_MSH6	MSH6	0.0754736108745644	1	0.075	ns	Wilcoxon
7	Colon	No_INFRAME_Del	MSH2_MSH6	PMS2	0.213613643496902	1	0.214	ns	Wilcoxon
8	Colon	No_INFRAME_Del	MLH1_PMS2	Complex	0.360107181030336	1	0.360	ns	Wilcoxon
9	Colon	No_INFRAME_Del	MLH1_PMS2	NORMAL	0.0638098682568504	1	0.064	ns	Wilcoxon
10	Colon	No_INFRAME_Del	MLH1_PMS2	MSH6	0.107417955881815	1	0.107	ns	Wilcoxon
11	Colon	No_INFRAME_Del	MLH1_PMS2	PMS2	0.244874864151118	1	0.245	ns	Wilcoxon
12	Colon	No_INFRAME_Del	Complex	NORMAL	0.0685611543259408	1	0.069	ns	Wilcoxon
13	Colon	No_INFRAME_Del	Complex	MSH6	0.0746461847029997	1	0.075	ns	Wilcoxon
14	Colon	No_INFRAME_Del	Complex	PMS2	0.194817112188082	1	0.195	ns	Wilcoxon
15	Colon	No_INFRAME_Del	NORMAL	MSH6	0.888539123512752	1	0.889	ns	Wilcoxon
16	Colon	No_INFRAME_Del	NORMAL	PMS2	0.888539123512752	1	0.889	ns	Wilcoxon
17	Colon	No_INFRAME_Del	MSH6	PMS2	1	1	1.000	ns	Wilcoxon
18	Esophagogastric	No_INFRAME_Del	MSH2_MSH6	MLH1_PMS2	0.0839169284733787	1	0.084	ns	Wilcoxon
19	Esophagogastric	No_INFRAME_Del	MSH2_MSH6	Complex	0.414216178242525	1	0.414	ns	Wilcoxon
20	Esophagogastric	No_INFRAME_Del	MSH2_MSH6	NORMAL	0.583882420770365	1	0.584	ns	Wilcoxon
21	Esophagogastric	No_INFRAME_Del	MLH1_PMS2	Complex	0.956313485378464	1	0.956	ns	Wilcoxon
22	Esophagogastric	No_INFRAME_Del	MLH1_PMS2	NORMAL	0.820782694081505	1	0.821	ns	Wilcoxon
23	Esophagogastric	No_INFRAME_Del	Complex	NORMAL	1	1	1.000	ns	Wilcoxon
24	Pancreas	No_INFRAME_Del	MSH2_MSH6	MLH1_PMS2	0.666666666666667	1	0.667	ns	Wilcoxon
25	Pancreas	No_INFRAME_Del	MSH2_MSH6	MSH6	1	1	1.000	ns	Wilcoxon
26	Pancreas	No_INFRAME_Del	MLH1_PMS2	MSH6	1	1	1.000	ns	Wilcoxon
27	Colorectal	No_INFRAME_Del	MSH2_MSH6	MLH1_PMS2	0.420158402703944	1	0.420	ns	Wilcoxon
28	Colorectal	No_INFRAME_Del	MSH2_MSH6	NORMAL	0.456056540250256	1	0.456	ns	Wilcoxon
29	Colorectal	No_INFRAME_Del	MSH2_MSH6	MSH6	0.605576616335346	1	0.606	ns	Wilcoxon
30	Colorectal	No_INFRAME_Del	MSH2_MSH6	PMS2	0.288844366346485	1	0.289	ns	Wilcoxon
31	Colorectal	No_INFRAME_Del	MLH1_PMS2	NORMAL	1	1	1.000	ns	Wilcoxon
32	Colorectal	No_INFRAME_Del	MLH1_PMS2	MSH6	0.255192742293443	1	0.255	ns	Wilcoxon
33	Colorectal	No_INFRAME_Del	MLH1_PMS2	PMS2	0.60100641328785	1	0.601	ns	Wilcoxon
34	Colorectal	No_INFRAME_Del	NORMAL	MSH6	0.263552477282973	1	0.264	ns	Wilcoxon
35	Colorectal	No_INFRAME_Del	NORMAL	PMS2	0.683091398309609	1	0.683	ns	Wilcoxon
36	Colorectal	No_INFRAME_Del	MSH6	PMS2	0.248213078989923	1	0.248	ns	Wilcoxon
37	Biliary	No_INFRAME_Del	MLH1_PMS2	PMS2	0.35832646674888	1	0.358	ns	Wilcoxon
38	Prostate	No_INFRAME_Del	MSH2_MSH6	MLH1_PMS2	0.479500122186953	1	0.480	ns	Wilcoxon
39	Prostate	No_INFRAME_Del	MLH1_PMS2	MSH6	1	1	1.000	ns	Wilcoxon
40	Small Bowel	No_INFRAME_Del	MSH2_MSH6	MLH1_PMS2	0.802587348634153	1	0.803	ns	Wilcoxon
