Cancer_Type_NEW	.y.	group1	group2	p	p.adj	p.format	p.signif	method
1	Bladder	No_Missense	MSH2_MSH6	MSH6	0.171370996516729	1	0.17137	ns	Wilcoxon
2	Bladder	No_Missense	MSH2_MSH6	PMS2	0.234763662827669	1	0.23476	ns	Wilcoxon
3	Bladder	No_Missense	MSH6	PMS2	0.666666666666667	1	0.66667	ns	Wilcoxon
4	Colon	No_Missense	MSH2_MSH6	MLH1_PMS2	0.000196878324063245	0.013	0.00020	***	Wilcoxon
5	Colon	No_Missense	MSH2_MSH6	Complex	0.175949325132319	1	0.17595	ns	Wilcoxon
6	Colon	No_Missense	MSH2_MSH6	NORMAL	0.469626909631719	1	0.46963	ns	Wilcoxon
7	Colon	No_Missense	MSH2_MSH6	MSH6	0.255909941806735	1	0.25591	ns	Wilcoxon
8	Colon	No_Missense	MSH2_MSH6	PMS2	0.00579558824099012	0.34	0.00580	**	Wilcoxon
9	Colon	No_Missense	MLH1_PMS2	Complex	0.103849975966866	1	0.10385	ns	Wilcoxon
10	Colon	No_Missense	MLH1_PMS2	NORMAL	0.136724527805042	1	0.13672	ns	Wilcoxon
11	Colon	No_Missense	MLH1_PMS2	MSH6	0.00419923352690294	0.26	0.00420	**	Wilcoxon
12	Colon	No_Missense	MLH1_PMS2	PMS2	0.00561516939433685	0.34	0.00562	**	Wilcoxon
13	Colon	No_Missense	Complex	NORMAL	1	1	1.00000	ns	Wilcoxon
14	Colon	No_Missense	Complex	MSH6	0.075579586158403	1	0.07558	ns	Wilcoxon
15	Colon	No_Missense	Complex	PMS2	0.0166206366176091	0.95	0.01662	*	Wilcoxon
16	Colon	No_Missense	NORMAL	MSH6	0.23030303030303	1	0.23030	ns	Wilcoxon
17	Colon	No_Missense	NORMAL	PMS2	0.0372015447521518	1	0.03720	*	Wilcoxon
18	Colon	No_Missense	MSH6	PMS2	0.0285714285714286	1	0.02857	*	Wilcoxon
19	Esophagogastric	No_Missense	MSH2_MSH6	MLH1_PMS2	0.155351441244775	1	0.15535	ns	Wilcoxon
20	Esophagogastric	No_Missense	MSH2_MSH6	Complex	0.4	1	0.40000	ns	Wilcoxon
21	Esophagogastric	No_Missense	MSH2_MSH6	NORMAL	0.8	1	0.80000	ns	Wilcoxon
22	Esophagogastric	No_Missense	MLH1_PMS2	Complex	0.184202479781698	1	0.18420	ns	Wilcoxon
23	Esophagogastric	No_Missense	MLH1_PMS2	NORMAL	0.373320344957138	1	0.37332	ns	Wilcoxon
24	Esophagogastric	No_Missense	Complex	NORMAL	0.666666666666667	1	0.66667	ns	Wilcoxon
