.y.	group1	group2	p	p.adj	p.format	p.signif	method
1	log.Aneuploidy.Score	Colon	Biliary	0.0520904143495063	1	0.052	ns	Wilcoxon
2	log.Aneuploidy.Score	Colon	Bladder	0.135629223900874	1	0.136	ns	Wilcoxon
3	log.Aneuploidy.Score	Colon	Colorectal	0.172173004694164	1	0.172	ns	Wilcoxon
4	log.Aneuploidy.Score	Colon	CUP	0.507349767987509	1	0.507	ns	Wilcoxon
5	log.Aneuploidy.Score	Colon	Endometrial	0.428085243333696	1	0.428	ns	Wilcoxon
6	log.Aneuploidy.Score	Colon	Esophagogastric	0.690398923682605	1	0.690	ns	Wilcoxon
7	log.Aneuploidy.Score	Colon	Other	0.0289221748895354	1	0.029	*	Wilcoxon
8	log.Aneuploidy.Score	Colon	Ovarian	0.33715081073878	1	0.337	ns	Wilcoxon
9	log.Aneuploidy.Score	Colon	Pancreas	0.771222400338907	1	0.771	ns	Wilcoxon
10	log.Aneuploidy.Score	Colon	Prostate	0.0467111378322508	1	0.047	*	Wilcoxon
11	log.Aneuploidy.Score	Colon	Rectal	0.375802620901003	1	0.376	ns	Wilcoxon
12	log.Aneuploidy.Score	Colon	Small Bowel	0.718426428402485	1	0.718	ns	Wilcoxon
13	log.Aneuploidy.Score	Biliary	Bladder	0.927272727272727	1	0.927	ns	Wilcoxon
14	log.Aneuploidy.Score	Biliary	Colorectal	0.100103199174407	1	0.100	ns	Wilcoxon
15	log.Aneuploidy.Score	Biliary	CUP	0.342857142857143	1	0.343	ns	Wilcoxon
16	log.Aneuploidy.Score	Biliary	Endometrial	0.151823086062944	1	0.152	ns	Wilcoxon
17	log.Aneuploidy.Score	Biliary	Esophagogastric	0.0444444444444444	1	0.044	*	Wilcoxon
18	log.Aneuploidy.Score	Biliary	Other	0.914285714285714	1	0.914	ns	Wilcoxon
19	log.Aneuploidy.Score	Biliary	Ovarian	0.628571428571429	1	0.629	ns	Wilcoxon
20	log.Aneuploidy.Score	Biliary	Pancreas	0.2	1	0.200	ns	Wilcoxon
21	log.Aneuploidy.Score	Biliary	Prostate	0.685714285714286	1	0.686	ns	Wilcoxon
22	log.Aneuploidy.Score	Biliary	Rectal	0.187812187812188	1	0.188	ns	Wilcoxon
23	log.Aneuploidy.Score	Biliary	Small Bowel	0.485714285714286	1	0.486	ns	Wilcoxon
24	log.Aneuploidy.Score	Bladder	Colorectal	0.406862745098039	1	0.407	ns	Wilcoxon
25	log.Aneuploidy.Score	Bladder	CUP	0.527272727272727	1	0.527	ns	Wilcoxon
26	log.Aneuploidy.Score	Bladder	Endometrial	0.267008001700417	1	0.267	ns	Wilcoxon
27	log.Aneuploidy.Score	Bladder	Esophagogastric	0.155585798661438	1	0.156	ns	Wilcoxon
28	log.Aneuploidy.Score	Bladder	Other	0.835664335664336	1	0.836	ns	Wilcoxon
29	log.Aneuploidy.Score	Bladder	Ovarian	0.666666666666667	1	0.667	ns	Wilcoxon
