SBS1	SBS2	SBS3	SBS4	SBS5	SBS6	SBS7a	SBS7b	SBS7c	SBS7d	SBS8	SBS9	SBS10a	SBS10b	SBS11	SBS12	SBS13	SBS14	SBS15	SBS16	SBS17a	SBS17b	SBS18	SBS19	SBS20	SBS21	SBS22	SBS23	SBS24	SBS25	SBS26	SBS27	SBS28	SBS29	SBS30	SBS31	SBS32	SBS33	SBS34	SBS35	SBS36	SBS37	SBS38	SBS39	SBS40	SBS41	SBS42	SBS43	SBS44	SBS45	SBS46	SBS47	SBS48	SBS49	SBS50	SBS51	SBS52	SBS53	SBS54	SBS55	SBS56	SBS57	SBS58	SBS59	SBS60
P-0003555-T01-IM5	0.924137666556002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0659018691905624	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P-0004051-T01-IM5	0.21304818338606	0	0	0	0	0	0	0	0	0	0	0	0	0.0999935920943751	0	0	0	0	0.538881034238122	0	0	0	0	0	0	0.0938395276117903	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P-0004076-T01-IM5	0.800122019592723	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.138504991007538	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P-0004387-T02-IM5	0.909724022794386	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0863898737092989	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P-0004754-T01-IM5	0.695687447277571	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.224758044396371	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P-0005270-T02-IM6	0.513869130751882	0	0	0	0	0.197502898472908	0	0	0	0	0	0	0	0	0	0	0	0.0780759339568029	0	0	0	0	0	0	0	0.105835083156494	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0653212977567009	0	0	0	0	0	0	0	0	0	0	0
P-0005400-T01-IM5	0.507804921958527	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0882436893077474	0.13812859096904	0	0	0	0	0	0	0	0	0	0.0804324035569663	0	0.0878544979246403	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P-0005823-T01-IM5	0.759154285830553	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.105638321903883	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P-0006135-T01-IM5	0.384490461288492	0	0	0	0.192391278752266	0	0	0	0	0	0	0	0	0.111828825428571	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.083678826784336	0	0	0	0	0	0	0.0892184107985843	0	0	0	0	0	0	0	0	0	0	0
P-0006365-T01-IM5	0.453940090220106	0	0	0	0	0	0	0	0	0	0	0	0	0.328656175117566	0	0	0	0	0	0	0	0	0	0	0.137917836494869	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
