.y.	group1	group2	p	p.adj	p.format	p.signif	method
1	Fraction_Genome_Altered	Bladder	Colon	0.0113244334782391	0.77	0.01132	*	Wilcoxon
2	Fraction_Genome_Altered	Bladder	Esophagogastric	0.276854896990629	1	0.27685	ns	Wilcoxon
3	Fraction_Genome_Altered	Bladder	Pancreas	0.604195804195804	1	0.60420	ns	Wilcoxon
4	Fraction_Genome_Altered	Bladder	Colorectal	0.059260369936936	1	0.05926	ns	Wilcoxon
5	Fraction_Genome_Altered	Bladder	Biliary	0.954645354645355	1	0.95465	ns	Wilcoxon
6	Fraction_Genome_Altered	Bladder	Prostate	0.503496503496504	1	0.50350	ns	Wilcoxon
7	Fraction_Genome_Altered	Bladder	Small Bowel	0.0301400729936203	1	0.03014	*	Wilcoxon
8	Fraction_Genome_Altered	Bladder	Endometrial	0.0203338745575616	1	0.02033	*	Wilcoxon
9	Fraction_Genome_Altered	Bladder	Rectal	0.0131017278119563	0.88	0.01310	*	Wilcoxon
10	Fraction_Genome_Altered	Bladder	CUP	0.954645354645355	1	0.95465	ns	Wilcoxon
11	Fraction_Genome_Altered	Bladder	Other	0.837062937062937	1	0.83706	ns	Wilcoxon
12	Fraction_Genome_Altered	Bladder	Ovarian	0.536533829753467	1	0.53653	ns	Wilcoxon
13	Fraction_Genome_Altered	Colon	Esophagogastric	0.000415457077721208	0.032	0.00042	***	Wilcoxon
14	Fraction_Genome_Altered	Colon	Pancreas	0.0751572293294793	1	0.07516	ns	Wilcoxon
15	Fraction_Genome_Altered	Colon	Colorectal	0.107170457383724	1	0.10717	ns	Wilcoxon
16	Fraction_Genome_Altered	Colon	Biliary	0.0105776928646446	0.74	0.01058	*	Wilcoxon
17	Fraction_Genome_Altered	Colon	Prostate	0.240418576644152	1	0.24042	ns	Wilcoxon
18	Fraction_Genome_Altered	Colon	Small Bowel	0.383296501614648	1	0.38330	ns	Wilcoxon
19	Fraction_Genome_Altered	Colon	Endometrial	0.0473590241859938	1	0.04736	*	Wilcoxon
20	Fraction_Genome_Altered	Colon	Rectal	0.631940801268238	1	0.63194	ns	Wilcoxon
21	Fraction_Genome_Altered	Colon	CUP	0.00887839734806897	0.64	0.00888	**	Wilcoxon
22	Fraction_Genome_Altered	Colon	Other	0.00186049685886809	0.14	0.00186	**	Wilcoxon
23	Fraction_Genome_Altered	Colon	Ovarian	0.749940907567361	1	0.74994	ns	Wilcoxon
24	Fraction_Genome_Altered	Esophagogastric	Pancreas	0.891440184063361	1	0.89144	ns	Wilcoxon
25	Fraction_Genome_Altered	Esophagogastric	Colorectal	0.132924821894657	1	0.13292	ns	Wilcoxon
