CLASSIFICATION_PLOT	.y.	group1	group2	p	p.adj	p.format	p.signif	method
1	MSH2_MSH6	Impact_TMB_Score	Bladder	Colon	0.17674376442635	1	0.1767	ns	Wilcoxon
2	MSH2_MSH6	Impact_TMB_Score	Bladder	Esophagogastric	0.73015873015873	1	0.7302	ns	Wilcoxon
3	MSH2_MSH6	Impact_TMB_Score	Bladder	Pancreas	1	1	1.0000	ns	Wilcoxon
4	MSH2_MSH6	Impact_TMB_Score	Bladder	Colorectal	0.0952380952380952	1	0.0952	ns	Wilcoxon
5	MSH2_MSH6	Impact_TMB_Score	Bladder	Prostate	0.857142857142857	1	0.8571	ns	Wilcoxon
6	MSH2_MSH6	Impact_TMB_Score	Bladder	Small Bowel	0.380952380952381	1	0.3810	ns	Wilcoxon
7	MSH2_MSH6	Impact_TMB_Score	Bladder	Endometrial	0.780738222466872	1	0.7807	ns	Wilcoxon
8	MSH2_MSH6	Impact_TMB_Score	Bladder	Rectal	0.164502164502165	1	0.1645	ns	Wilcoxon
9	MSH2_MSH6	Impact_TMB_Score	Bladder	Other	0.0317460317460317	1	0.0317	*	Wilcoxon
10	MSH2_MSH6	Impact_TMB_Score	Bladder	Ovarian	0.857142857142857	1	0.8571	ns	Wilcoxon
11	MSH2_MSH6	Impact_TMB_Score	Colon	Esophagogastric	0.935322014582588	1	0.9353	ns	Wilcoxon
12	MSH2_MSH6	Impact_TMB_Score	Colon	Pancreas	0.509792660346823	1	0.5098	ns	Wilcoxon
13	MSH2_MSH6	Impact_TMB_Score	Colon	Colorectal	0.831099237361619	1	0.8311	ns	Wilcoxon
14	MSH2_MSH6	Impact_TMB_Score	Colon	Prostate	0.208248049150865	1	0.2082	ns	Wilcoxon
15	MSH2_MSH6	Impact_TMB_Score	Colon	Small Bowel	0.810506498072981	1	0.8105	ns	Wilcoxon
16	MSH2_MSH6	Impact_TMB_Score	Colon	Endometrial	0.090194814126038	1	0.0902	ns	Wilcoxon
17	MSH2_MSH6	Impact_TMB_Score	Colon	Rectal	0.854344673188407	1	0.8543	ns	Wilcoxon
18	MSH2_MSH6	Impact_TMB_Score	Colon	Other	0.0128317043812565	1	0.0128	*	Wilcoxon
19	MSH2_MSH6	Impact_TMB_Score	Colon	Ovarian	0.368729723868168	1	0.3687	ns	Wilcoxon
20	MSH2_MSH6	Impact_TMB_Score	Esophagogastric	Pancreas	0.8	1	0.8000	ns	Wilcoxon
21	MSH2_MSH6	Impact_TMB_Score	Esophagogastric	Colorectal	0.805700796720207	1	0.8057	ns	Wilcoxon
22	MSH2_MSH6	Impact_TMB_Score	Esophagogastric	Prostate	0.533333333333333	1	0.5333	ns	Wilcoxon
23	MSH2_MSH6	Impact_TMB_Score	Esophagogastric	Small Bowel	1	1	1.0000	ns	Wilcoxon
24	MSH2_MSH6	Impact_TMB_Score	Esophagogastric	Endometrial	0.523570227569124	1	0.5236	ns	Wilcoxon
25	MSH2_MSH6	Impact_TMB_Score	Esophagogastric	Rectal	0.839160839160839	1	0.8392	ns	Wilcoxon
26	MSH2_MSH6	Impact_TMB_Score	Esophagogastric	Other	0.0634920634920635	1	0.0635	ns	Wilcoxon
27	MSH2_MSH6	Impact_TMB_Score	Esophagogastric	Ovarian	1	1	1.0000	ns	Wilcoxon
28	MSH2_MSH6	Impact_TMB_Score	Pancreas	Colorectal	0.380952380952381	1	0.3810	ns	Wilcoxon
29	MSH2_MSH6	Impact_TMB_Score	Pancreas	Prostate	0.666666666666667	1	0.6667	ns	Wilcoxon
30	MSH2_MSH6	Impact_TMB_Score	Pancreas	Small Bowel	0.666666666666667	1	0.6667	ns	Wilcoxon
31	MSH2_MSH6	Impact_TMB_Score	Pancreas	Endometrial	0.578123356224285	1	0.5781	ns	Wilcoxon
32	MSH2_MSH6	Impact_TMB_Score	Pancreas	Rectal	0.606060606060606	1	0.6061	ns	Wilcoxon
33	MSH2_MSH6	Impact_TMB_Score	Pancreas	Other	0.19047619047619	1	0.1905	ns	Wilcoxon
34	MSH2_MSH6	Impact_TMB_Score	Pancreas	Ovarian	1	1	1.0000	ns	Wilcoxon
35	MSH2_MSH6	Impact_TMB_Score	Colorectal	Prostate	0.19047619047619	1	0.1905	ns	Wilcoxon
36	MSH2_MSH6	Impact_TMB_Score	Colorectal	Small Bowel	0.857142857142857	1	0.8571	ns	Wilcoxon
37	MSH2_MSH6	Impact_TMB_Score	Colorectal	Endometrial	0.126444619974332	1	0.1264	ns	Wilcoxon
38	MSH2_MSH6	Impact_TMB_Score	Colorectal	Rectal	0.953046953046953	1	0.9530	ns	Wilcoxon
39	MSH2_MSH6	Impact_TMB_Score	Colorectal	Other	0.0158730158730159	1	0.0159	*	Wilcoxon
