Cancer_Type_NEW	.y.	group1	group2	p	p.adj	p.format	p.signif	method
1	Bladder	Impact_TMB_Score	MSH6	Not_MSH6	0.25	1	0.2500	ns	Wilcoxon
2	Colon	Impact_TMB_Score	MSH6	Not_MSH6	0.00119680160469222	0.013	0.0012	**	Wilcoxon
3	Esophagogastric	Impact_TMB_Score	MSH6	Not_MSH6	0.352551793037695	1	0.3526	ns	Wilcoxon
4	Pancreas	Impact_TMB_Score	MSH6	Not_MSH6	1	1	1.0000	ns	Wilcoxon
5	Colorectal	Impact_TMB_Score	MSH6	Not_MSH6	0.0317279323460616	0.29	0.0317	*	Wilcoxon
6	Prostate	Impact_TMB_Score	MSH6	Not_MSH6	0.5	1	0.5000	ns	Wilcoxon
7	Small Bowel	Impact_TMB_Score	MSH6	Not_MSH6	0.177777777777778	1	0.1778	ns	Wilcoxon
8	Endometrial	Impact_TMB_Score	MSH6	Not_MSH6	0.00637243457077206	0.064	0.0064	**	Wilcoxon
9	Rectal	Impact_TMB_Score	MSH6	Not_MSH6	0.123005477494642	0.98	0.1230	ns	Wilcoxon
10	Other	Impact_TMB_Score	MSH6	Not_MSH6	0.857142857142857	1	0.8571	ns	Wilcoxon
11	Ovarian	Impact_TMB_Score	MSH6	Not_MSH6	0.333333333333333	1	0.3333	ns	Wilcoxon
