CLASSIFICATION_PLOT	.y.	group1	group2	p	p.adj	p.format	p.signif	method
1	MSH2_MSH6	MSI_Score_1	Bladder	Colon	0.0104821762260231	1	0.01048	*	Wilcoxon
2	MSH2_MSH6	MSI_Score_1	Bladder	Esophagogastric	0.555555555555556	1	0.55556	ns	Wilcoxon
3	MSH2_MSH6	MSI_Score_1	Bladder	Pancreas	0.0952380952380952	1	0.09524	ns	Wilcoxon
4	MSH2_MSH6	MSI_Score_1	Bladder	Colorectal	0.00793650793650794	1	0.00794	**	Wilcoxon
5	MSH2_MSH6	MSI_Score_1	Bladder	Prostate	0.695942584993081	1	0.69594	ns	Wilcoxon
6	MSH2_MSH6	MSI_Score_1	Bladder	Small Bowel	0.0952380952380952	1	0.09524	ns	Wilcoxon
7	MSH2_MSH6	MSI_Score_1	Bladder	Endometrial	0.559339525283798	1	0.55934	ns	Wilcoxon
8	MSH2_MSH6	MSI_Score_1	Bladder	Rectal	0.0193140193140193	1	0.01931	*	Wilcoxon
9	MSH2_MSH6	MSI_Score_1	Bladder	Other	0.69047619047619	1	0.69048	ns	Wilcoxon
10	MSH2_MSH6	MSI_Score_1	Bladder	Ovarian	0.0952380952380952	1	0.09524	ns	Wilcoxon
11	MSH2_MSH6	MSI_Score_1	Colon	Esophagogastric	0.0679343572888416	1	0.06793	ns	Wilcoxon
12	MSH2_MSH6	MSI_Score_1	Colon	Pancreas	0.509792660346823	1	0.50979	ns	Wilcoxon
13	MSH2_MSH6	MSI_Score_1	Colon	Colorectal	1	1	1.00000	ns	Wilcoxon
14	MSH2_MSH6	MSI_Score_1	Colon	Prostate	0.0822483570913047	1	0.08225	ns	Wilcoxon
15	MSH2_MSH6	MSI_Score_1	Colon	Small Bowel	0.674875728879942	1	0.67488	ns	Wilcoxon
16	MSH2_MSH6	MSI_Score_1	Colon	Endometrial	0.00826376228664321	1	0.00826	**	Wilcoxon
17	MSH2_MSH6	MSI_Score_1	Colon	Rectal	0.908665478646801	1	0.90867	ns	Wilcoxon
18	MSH2_MSH6	MSI_Score_1	Colon	Other	0.0392246509164886	1	0.03922	*	Wilcoxon
19	MSH2_MSH6	MSI_Score_1	Colon	Ovarian	0.589670763478075	1	0.58967	ns	Wilcoxon
20	MSH2_MSH6	MSI_Score_1	Esophagogastric	Pancreas	0.533333333333333	1	0.53333	ns	Wilcoxon
21	MSH2_MSH6	MSI_Score_1	Esophagogastric	Colorectal	0.285714285714286	1	0.28571	ns	Wilcoxon
22	MSH2_MSH6	MSI_Score_1	Esophagogastric	Prostate	0.8	1	0.80000	ns	Wilcoxon
23	MSH2_MSH6	MSI_Score_1	Esophagogastric	Small Bowel	0.133333333333333	1	0.13333	ns	Wilcoxon
24	MSH2_MSH6	MSI_Score_1	Esophagogastric	Endometrial	0.798039215686274	1	0.79804	ns	Wilcoxon
25	MSH2_MSH6	MSI_Score_1	Esophagogastric	Rectal	0.141858141858142	1	0.14186	ns	Wilcoxon
26	MSH2_MSH6	MSI_Score_1	Esophagogastric	Other	0.555555555555556	1	0.55556	ns	Wilcoxon
27	MSH2_MSH6	MSI_Score_1	Esophagogastric	Ovarian	0.266666666666667	1	0.26667	ns	Wilcoxon
28	MSH2_MSH6	MSI_Score_1	Pancreas	Colorectal	0.571428571428571	1	0.57143	ns	Wilcoxon
29	MSH2_MSH6	MSI_Score_1	Pancreas	Prostate	0.333333333333333	1	0.33333	ns	Wilcoxon
30	MSH2_MSH6	MSI_Score_1	Pancreas	Small Bowel	0.666666666666667	1	0.66667	ns	Wilcoxon
31	MSH2_MSH6	MSI_Score_1	Pancreas	Endometrial	0.5	1	0.50000	ns	Wilcoxon
32	MSH2_MSH6	MSI_Score_1	Pancreas	Rectal	0.606060606060606	1	0.60606	ns	Wilcoxon
33	MSH2_MSH6	MSI_Score_1	Pancreas	Other	0.380952380952381	1	0.38095	ns	Wilcoxon
34	MSH2_MSH6	MSI_Score_1	Pancreas	Ovarian	1	1	1.00000	ns	Wilcoxon
35	MSH2_MSH6	MSI_Score_1	Colorectal	Prostate	0.0952380952380952	1	0.09524	ns	Wilcoxon
36	MSH2_MSH6	MSI_Score_1	Colorectal	Small Bowel	0.571428571428571	1	0.57143	ns	Wilcoxon
37	MSH2_MSH6	MSI_Score_1	Colorectal	Endometrial	0.0700034399724802	1	0.07000	ns	Wilcoxon
38	MSH2_MSH6	MSI_Score_1	Colorectal	Rectal	0.953046953046953	1	0.95305	ns	Wilcoxon
39	MSH2_MSH6	MSI_Score_1	Colorectal	Other	0.0555555555555556	1	0.05556	ns	Wilcoxon
40	MSH2_MSH6	MSI_Score_1	Colorectal	Ovarian	0.857142857142857	1	0.85714	ns	Wilcoxon
41	MSH2_MSH6	MSI_Score_1	Prostate	Small Bowel	0.333333333333333	1	0.33333	ns	Wilcoxon
42	MSH2_MSH6	MSI_Score_1	Prostate	Endometrial	0.933333333333333	1	0.93333	ns	Wilcoxon
43	MSH2_MSH6	MSI_Score_1	Prostate	Rectal	0.121212121212121	1	0.12121	ns	Wilcoxon
44	MSH2_MSH6	MSI_Score_1	Prostate	Other	0.571428571428571	1	0.57143	ns	Wilcoxon
45	MSH2_MSH6	MSI_Score_1	Prostate	Ovarian	0.333333333333333	1	0.33333	ns	Wilcoxon
46	MSH2_MSH6	MSI_Score_1	Small Bowel	Endometrial	0.1	1	0.10000	ns	Wilcoxon
47	MSH2_MSH6	MSI_Score_1	Small Bowel	Rectal	0.909090909090909	1	0.90909	ns	Wilcoxon
48	MSH2_MSH6	MSI_Score_1	Small Bowel	Other	0.19047619047619	1	0.19048	ns	Wilcoxon
49	MSH2_MSH6	MSI_Score_1	Small Bowel	Ovarian	0.333333333333333	1	0.33333	ns	Wilcoxon
50	MSH2_MSH6	MSI_Score_1	Endometrial	Rectal	0.0305875418609299	1	0.03059	*	Wilcoxon
51	MSH2_MSH6	MSI_Score_1	Endometrial	Other	0.686790505675955	1	0.68679	ns	Wilcoxon
52	MSH2_MSH6	MSI_Score_1	Endometrial	Ovarian	0.333333333333333	1	0.33333	ns	Wilcoxon
