.y.	group1	group2	p	p.adj	p.format	p.signif	method
1	MSI_Score_1	Bladder	Colon	0.000125810810171239	0.0097	0.00013	***	Wilcoxon
2	MSI_Score_1	Bladder	Esophagogastric	0.0121165921704259	0.78	0.01212	*	Wilcoxon
3	MSI_Score_1	Bladder	Pancreas	0.198601398601399	1	0.19860	ns	Wilcoxon
4	MSI_Score_1	Bladder	Colorectal	0.000163358147229115	0.012	0.00016	***	Wilcoxon
5	MSI_Score_1	Bladder	Biliary	0.0112106034364914	0.73	0.01121	*	Wilcoxon
6	MSI_Score_1	Bladder	Prostate	1	1	1.00000	ns	Wilcoxon
7	MSI_Score_1	Bladder	Small Bowel	0.00430034361922907	0.31	0.00430	**	Wilcoxon
8	MSI_Score_1	Bladder	Endometrial	0.224092997412159	1	0.22409	ns	Wilcoxon
9	MSI_Score_1	Bladder	Rectal	0.00505301794657117	0.34	0.00505	**	Wilcoxon
10	MSI_Score_1	Bladder	CUP	0.775624375624376	1	0.77562	ns	Wilcoxon
11	MSI_Score_1	Bladder	Other	0.536013986013986	1	0.53601	ns	Wilcoxon
12	MSI_Score_1	Bladder	Ovarian	0.503496503496504	1	0.50350	ns	Wilcoxon
13	MSI_Score_1	Colon	Esophagogastric	0.017865453615509	1	0.01787	*	Wilcoxon
14	MSI_Score_1	Colon	Pancreas	0.0930969849903027	1	0.09310	ns	Wilcoxon
15	MSI_Score_1	Colon	Colorectal	0.280225810350816	1	0.28023	ns	Wilcoxon
16	MSI_Score_1	Colon	Biliary	0.278597123717531	1	0.27860	ns	Wilcoxon
17	MSI_Score_1	Colon	Prostate	0.010507810847307	0.69	0.01051	*	Wilcoxon
18	MSI_Score_1	Colon	Small Bowel	0.0566608932583142	1	0.05666	ns	Wilcoxon
19	MSI_Score_1	Colon	Endometrial	3.8141437941608e-12	3e-10	3.8e-12	****	Wilcoxon
20	MSI_Score_1	Colon	Rectal	0.591803957753004	1	0.59180	ns	Wilcoxon
