CLASSIFICATION_PLOT	.y.	group1	group2	p	p.adj	p.format	p.signif	method
1	MSH2_MSH6	No_INDEL	Bladder	Colon	0.0114777678275632	1	0.0115	*	Wilcoxon
2	MSH2_MSH6	No_INDEL	Bladder	Esophagogastric	0.285714285714286	1	0.2857	ns	Wilcoxon
3	MSH2_MSH6	No_INDEL	Bladder	Pancreas	1	1	1.0000	ns	Wilcoxon
4	MSH2_MSH6	No_INDEL	Bladder	Colorectal	0.0555555555555556	1	0.0556	ns	Wilcoxon
5	MSH2_MSH6	No_INDEL	Bladder	Prostate	0.571428571428571	1	0.5714	ns	Wilcoxon
6	MSH2_MSH6	No_INDEL	Bladder	Small Bowel	0.380952380952381	1	0.3810	ns	Wilcoxon
7	MSH2_MSH6	No_INDEL	Bladder	Endometrial	0.404091319133482	1	0.4041	ns	Wilcoxon
8	MSH2_MSH6	No_INDEL	Bladder	Rectal	0.085006294880802	1	0.0850	ns	Wilcoxon
9	MSH2_MSH6	No_INDEL	Bladder	Other	0.753298033462838	1	0.7533	ns	Wilcoxon
10	MSH2_MSH6	No_INDEL	Bladder	Ovarian	0.19047619047619	1	0.1905	ns	Wilcoxon
11	MSH2_MSH6	No_INDEL	Colon	Esophagogastric	0.490116641046176	1	0.4901	ns	Wilcoxon
12	MSH2_MSH6	No_INDEL	Colon	Pancreas	0.118749348225491	1	0.1187	ns	Wilcoxon
13	MSH2_MSH6	No_INDEL	Colon	Colorectal	0.354824484416513	1	0.3548	ns	Wilcoxon
14	MSH2_MSH6	No_INDEL	Colon	Prostate	0.133476725554124	1	0.1335	ns	Wilcoxon
15	MSH2_MSH6	No_INDEL	Colon	Small Bowel	0.230126024531465	1	0.2301	ns	Wilcoxon
16	MSH2_MSH6	No_INDEL	Colon	Endometrial	0.013838683386627	1	0.0138	*	Wilcoxon
17	MSH2_MSH6	No_INDEL	Colon	Rectal	0.301302365119272	1	0.3013	ns	Wilcoxon
18	MSH2_MSH6	No_INDEL	Colon	Other	0.00314590799714774	0.56	0.0031	**	Wilcoxon
19	MSH2_MSH6	No_INDEL	Colon	Ovarian	0.674276615146812	1	0.6743	ns	Wilcoxon
20	MSH2_MSH6	No_INDEL	Esophagogastric	Pancreas	0.266666666666667	1	0.2667	ns	Wilcoxon
21	MSH2_MSH6	No_INDEL	Esophagogastric	Colorectal	0.73015873015873	1	0.7302	ns	Wilcoxon
22	MSH2_MSH6	No_INDEL	Esophagogastric	Prostate	0.533333333333333	1	0.5333	ns	Wilcoxon
23	MSH2_MSH6	No_INDEL	Esophagogastric	Small Bowel	1	1	1.0000	ns	Wilcoxon
24	MSH2_MSH6	No_INDEL	Esophagogastric	Endometrial	0.489112119382276	1	0.4891	ns	Wilcoxon
25	MSH2_MSH6	No_INDEL	Esophagogastric	Rectal	0.88729074918315	1	0.8873	ns	Wilcoxon
26	MSH2_MSH6	No_INDEL	Esophagogastric	Other	0.111111111111111	1	0.1111	ns	Wilcoxon
27	MSH2_MSH6	No_INDEL	Esophagogastric	Ovarian	1	1	1.0000	ns	Wilcoxon
28	MSH2_MSH6	No_INDEL	Pancreas	Colorectal	0.19047619047619	1	0.1905	ns	Wilcoxon
29	MSH2_MSH6	No_INDEL	Pancreas	Prostate	1	1	1.0000	ns	Wilcoxon
30	MSH2_MSH6	No_INDEL	Pancreas	Small Bowel	0.666666666666667	1	0.6667	ns	Wilcoxon
31	MSH2_MSH6	No_INDEL	Pancreas	Endometrial	0.690978790124881	1	0.6910	ns	Wilcoxon
32	MSH2_MSH6	No_INDEL	Pancreas	Rectal	0.195825199873519	1	0.1958	ns	Wilcoxon
33	MSH2_MSH6	No_INDEL	Pancreas	Other	0.695942584993081	1	0.6959	ns	Wilcoxon
34	MSH2_MSH6	No_INDEL	Pancreas	Ovarian	0.333333333333333	1	0.3333	ns	Wilcoxon
35	MSH2_MSH6	No_INDEL	Colorectal	Prostate	0.19047619047619	1	0.1905	ns	Wilcoxon
36	MSH2_MSH6	No_INDEL	Colorectal	Small Bowel	0.695942584993081	1	0.6959	ns	Wilcoxon
37	MSH2_MSH6	No_INDEL	Colorectal	Endometrial	0.150023826775188	1	0.1500	ns	Wilcoxon
38	MSH2_MSH6	No_INDEL	Colorectal	Rectal	0.66733128467302	1	0.6673	ns	Wilcoxon
39	MSH2_MSH6	No_INDEL	Colorectal	Other	0.00793650793650794	1	0.0079	**	Wilcoxon
40	MSH2_MSH6	No_INDEL	Colorectal	Ovarian	1	1	1.0000	ns	Wilcoxon
41	MSH2_MSH6	No_INDEL	Prostate	Small Bowel	1	1	1.0000	ns	Wilcoxon
42	MSH2_MSH6	No_INDEL	Prostate	Endometrial	1	1	1.0000	ns	Wilcoxon
43	MSH2_MSH6	No_INDEL	Prostate	Rectal	0.388490337240709	1	0.3885	ns	Wilcoxon
44	MSH2_MSH6	No_INDEL	Prostate	Other	0.241032444383939	1	0.2410	ns	Wilcoxon
45	MSH2_MSH6	No_INDEL	Prostate	Ovarian	0.333333333333333	1	0.3333	ns	Wilcoxon
46	MSH2_MSH6	No_INDEL	Small Bowel	Endometrial	0.811480695223388	1	0.8115	ns	Wilcoxon
47	MSH2_MSH6	No_INDEL	Small Bowel	Rectal	0.914308620179539	1	0.9143	ns	Wilcoxon
