Cancer_Type_NEW	.y.	group1	group2	p	p.adj	p.format	p.signif	method
1	Bladder	No_INDEL	MSH2_MSH6	MSH6	0.241032444383939	1	0.2410	ns	Wilcoxon
2	Bladder	No_INDEL	MSH2_MSH6	PMS2	0.666666666666667	1	0.6667	ns	Wilcoxon
3	Bladder	No_INDEL	MSH2_MSH6	?	1	1	1.0000	ns	Wilcoxon
4	Bladder	No_INDEL	MSH6	PMS2	1	1	1.0000	ns	Wilcoxon
5	Bladder	No_INDEL	MSH6	?	0.666666666666667	1	0.6667	ns	Wilcoxon
6	Bladder	No_INDEL	PMS2	?	1	1	1.0000	ns	Wilcoxon
7	Colon	No_INDEL	MSH2_MSH6	MLH1_PMS2	0.0467271154681883	1	0.0467	*	Wilcoxon
8	Colon	No_INDEL	MSH2_MSH6	Complex	0.941050228235903	1	0.9411	ns	Wilcoxon
9	Colon	No_INDEL	MSH2_MSH6	NORMAL	0.155416319572705	1	0.1554	ns	Wilcoxon
10	Colon	No_INDEL	MSH2_MSH6	MSH6	0.00935626204728294	0.78	0.0094	**	Wilcoxon
11	Colon	No_INDEL	MSH2_MSH6	PMS2	0.014812298357696	1	0.0148	*	Wilcoxon
12	Colon	No_INDEL	MLH1_PMS2	Complex	0.194240571184246	1	0.1942	ns	Wilcoxon
13	Colon	No_INDEL	MLH1_PMS2	NORMAL	0.613346849812447	1	0.6133	ns	Wilcoxon
14	Colon	No_INDEL	MLH1_PMS2	MSH6	0.00977209468520249	0.8	0.0098	**	Wilcoxon
15	Colon	No_INDEL	MLH1_PMS2	PMS2	0.0159019387454953	1	0.0159	*	Wilcoxon
16	Colon	No_INDEL	Complex	NORMAL	0.203008834605745	1	0.2030	ns	Wilcoxon
17	Colon	No_INDEL	Complex	MSH6	0.0166206366176091	1	0.0166	*	Wilcoxon
18	Colon	No_INDEL	Complex	PMS2	0.0248600349122262	1	0.0249	*	Wilcoxon
19	Colon	No_INDEL	NORMAL	MSH6	0.214020436546742	1	0.2140	ns	Wilcoxon
20	Colon	No_INDEL	NORMAL	PMS2	0.388544773471444	1	0.3885	ns	Wilcoxon
21	Colon	No_INDEL	MSH6	PMS2	0.558985726841358	1	0.5590	ns	Wilcoxon
22	Esophagogastric	No_INDEL	MSH2_MSH6	MLH1_PMS2	0.556823390067588	1	0.5568	ns	Wilcoxon
23	Esophagogastric	No_INDEL	MSH2_MSH6	Complex	0.8	1	0.8000	ns	Wilcoxon
24	Esophagogastric	No_INDEL	MSH2_MSH6	NORMAL	0.8	1	0.8000	ns	Wilcoxon
25	Esophagogastric	No_INDEL	MSH2_MSH6	?	0.266666666666667	1	0.2667	ns	Wilcoxon
26	Esophagogastric	No_INDEL	MLH1_PMS2	Complex	0.759462865379934	1	0.7595	ns	Wilcoxon
27	Esophagogastric	No_INDEL	MLH1_PMS2	NORMAL	1	1	1.0000	ns	Wilcoxon
