.y.	group1	group2	p	p.adj	p.format	p.signif	method
1	No_INDEL	Bladder	Colon	0.000684933790234214	0.053	0.00068	***	Wilcoxon
2	No_INDEL	Bladder	Esophagogastric	0.00876165452594088	0.63	0.00876	**	Wilcoxon
3	No_INDEL	Bladder	Pancreas	0.243237563380349	1	0.24324	ns	Wilcoxon
4	No_INDEL	Bladder	Colorectal	0.00634109308843347	0.46	0.00634	**	Wilcoxon
5	No_INDEL	Bladder	Biliary	0.123816402832758	1	0.12382	ns	Wilcoxon
6	No_INDEL	Bladder	Prostate	0.215143592164729	1	0.21514	ns	Wilcoxon
7	No_INDEL	Bladder	Small Bowel	0.101366133812768	1	0.10137	ns	Wilcoxon
8	No_INDEL	Bladder	Endometrial	0.0308705813690542	1	0.03087	*	Wilcoxon
9	No_INDEL	Bladder	Rectal	0.00534040096436934	0.4	0.00534	**	Wilcoxon
10	No_INDEL	Bladder	CUP	0.155814036138452	1	0.15581	ns	Wilcoxon
11	No_INDEL	Bladder	Other	0.750111916300925	1	0.75011	ns	Wilcoxon
12	No_INDEL	Bladder	Ovarian	0.392795922672576	1	0.39280	ns	Wilcoxon
13	No_INDEL	Colon	Esophagogastric	0.134901036703186	1	0.13490	ns	Wilcoxon
14	No_INDEL	Colon	Pancreas	0.19211247050255	1	0.19211	ns	Wilcoxon
15	No_INDEL	Colon	Colorectal	0.253671405408754	1	0.25367	ns	Wilcoxon
16	No_INDEL	Colon	Biliary	0.16320567829977	1	0.16321	ns	Wilcoxon
17	No_INDEL	Colon	Prostate	0.130746271414351	1	0.13075	ns	Wilcoxon
18	No_INDEL	Colon	Small Bowel	0.0530415784532529	1	0.05304	ns	Wilcoxon
19	No_INDEL	Colon	Endometrial	5.59515554588144e-07	4.4e-05	5.6e-07	****	Wilcoxon
20	No_INDEL	Colon	Rectal	0.685218232657112	1	0.68522	ns	Wilcoxon
21	No_INDEL	Colon	CUP	0.186435560517733	1	0.18644	ns	Wilcoxon
22	No_INDEL	Colon	Other	0.00345842685687368	0.26	0.00346	**	Wilcoxon
23	No_INDEL	Colon	Ovarian	0.277037524363177	1	0.27704	ns	Wilcoxon
24	No_INDEL	Esophagogastric	Pancreas	0.435096692017132	1	0.43510	ns	Wilcoxon
25	No_INDEL	Esophagogastric	Colorectal	0.885322417209584	1	0.88532	ns	Wilcoxon
26	No_INDEL	Esophagogastric	Biliary	0.532590956817069	1	0.53259	ns	Wilcoxon
27	No_INDEL	Esophagogastric	Prostate	0.412515891914285	1	0.41252	ns	Wilcoxon
28	No_INDEL	Esophagogastric	Small Bowel	0.354077634146797	1	0.35408	ns	Wilcoxon
29	No_INDEL	Esophagogastric	Endometrial	0.0365790486119832	1	0.03658	*	Wilcoxon
30	No_INDEL	Esophagogastric	Rectal	0.236732889129627	1	0.23673	ns	Wilcoxon
31	No_INDEL	Esophagogastric	CUP	0.574219026946838	1	0.57422	ns	Wilcoxon
32	No_INDEL	Esophagogastric	Other	0.0297608391223652	1	0.02976	*	Wilcoxon
