CLASSIFICATION_PLOT	.y.	group1	group2	p	p.adj	p.format	p.signif	method
1	MSH2_MSH6	No_INSERT	Bladder	Colon	0.0162721009488922	1	0.0163	*	Wilcoxon
2	MSH2_MSH6	No_INSERT	Bladder	Esophagogastric	0.168761228585149	1	0.1688	ns	Wilcoxon
3	MSH2_MSH6	No_INSERT	Bladder	Pancreas	0.839197669230738	1	0.8392	ns	Wilcoxon
4	MSH2_MSH6	No_INSERT	Bladder	Colorectal	0.0333386832715863	1	0.0333	*	Wilcoxon
5	MSH2_MSH6	No_INSERT	Bladder	Prostate	0.828968502125176	1	0.8290	ns	Wilcoxon
6	MSH2_MSH6	No_INSERT	Bladder	Small Bowel	0.828968502125176	1	0.8290	ns	Wilcoxon
7	MSH2_MSH6	No_INSERT	Bladder	Endometrial	0.372533832642408	1	0.3725	ns	Wilcoxon
8	MSH2_MSH6	No_INSERT	Bladder	Rectal	0.00216170043894948	0.39	0.0022	**	Wilcoxon
9	MSH2_MSH6	No_INSERT	Bladder	Other	0.165271760298015	1	0.1653	ns	Wilcoxon
10	MSH2_MSH6	No_INSERT	Bladder	Ovarian	0.0732148078897701	1	0.0732	ns	Wilcoxon
11	MSH2_MSH6	No_INSERT	Colon	Esophagogastric	0.623215620429077	1	0.6232	ns	Wilcoxon
12	MSH2_MSH6	No_INSERT	Colon	Pancreas	0.71653128963532	1	0.7165	ns	Wilcoxon
13	MSH2_MSH6	No_INSERT	Colon	Colorectal	0.369216175825103	1	0.3692	ns	Wilcoxon
14	MSH2_MSH6	No_INSERT	Colon	Prostate	0.129665258836682	1	0.1297	ns	Wilcoxon
15	MSH2_MSH6	No_INSERT	Colon	Small Bowel	0.129665258836682	1	0.1297	ns	Wilcoxon
16	MSH2_MSH6	No_INSERT	Colon	Endometrial	0.105940009364585	1	0.1059	ns	Wilcoxon
17	MSH2_MSH6	No_INSERT	Colon	Rectal	0.281903702012871	1	0.2819	ns	Wilcoxon
18	MSH2_MSH6	No_INSERT	Colon	Other	0.157068745389743	1	0.1571	ns	Wilcoxon
19	MSH2_MSH6	No_INSERT	Colon	Ovarian	0.0795618026266101	1	0.0796	ns	Wilcoxon
20	MSH2_MSH6	No_INSERT	Esophagogastric	Pancreas	0.811597509074705	1	0.8116	ns	Wilcoxon
21	MSH2_MSH6	No_INSERT	Esophagogastric	Colorectal	0.901287773180033	1	0.9013	ns	Wilcoxon
22	MSH2_MSH6	No_INSERT	Esophagogastric	Prostate	0.481120001127239	1	0.4811	ns	Wilcoxon
23	MSH2_MSH6	No_INSERT	Esophagogastric	Small Bowel	0.481120001127239	1	0.4811	ns	Wilcoxon
24	MSH2_MSH6	No_INSERT	Esophagogastric	Endometrial	0.198542793686662	1	0.1985	ns	Wilcoxon
25	MSH2_MSH6	No_INSERT	Esophagogastric	Rectal	0.824635542464671	1	0.8246	ns	Wilcoxon
26	MSH2_MSH6	No_INSERT	Esophagogastric	Other	0.170608744850832	1	0.1706	ns	Wilcoxon
27	MSH2_MSH6	No_INSERT	Esophagogastric	Ovarian	0.481120001127239	1	0.4811	ns	Wilcoxon
28	MSH2_MSH6	No_INSERT	Pancreas	Colorectal	0.430222691132191	1	0.4302	ns	Wilcoxon
29	MSH2_MSH6	No_INSERT	Pancreas	Prostate	1	1	1.0000	ns	Wilcoxon
