CLASSIFICATION_PLOT	.y.	group1	group2	p	p.adj	p.format	p.signif	method
1	MSH2_MSH6	No_Splice	Bladder	Colon	0.0350170402670496	1	0.035	*	Wilcoxon
2	MSH2_MSH6	No_Splice	Bladder	Esophagogastric	0.379775474840949	1	0.380	ns	Wilcoxon
3	MSH2_MSH6	No_Splice	Bladder	Pancreas	0.0839528182931277	1	0.084	ns	Wilcoxon
4	MSH2_MSH6	No_Splice	Bladder	Colorectal	0.231997723628734	1	0.232	ns	Wilcoxon
5	MSH2_MSH6	No_Splice	Bladder	Prostate	0.624206114766406	1	0.624	ns	Wilcoxon
6	MSH2_MSH6	No_Splice	Bladder	Small Bowel	0.0518686606519384	1	0.052	ns	Wilcoxon
7	MSH2_MSH6	No_Splice	Bladder	Endometrial	0.014264934071046	1	0.014	*	Wilcoxon
8	MSH2_MSH6	No_Splice	Bladder	Rectal	0.0596753083904224	1	0.060	ns	Wilcoxon
9	MSH2_MSH6	No_Splice	Bladder	Other	0.518605016428726	1	0.519	ns	Wilcoxon
10	MSH2_MSH6	No_Splice	Bladder	Ovarian	0.624206114766406	1	0.624	ns	Wilcoxon
11	MSH2_MSH6	No_Splice	Colon	Esophagogastric	0.701703778562003	1	0.702	ns	Wilcoxon
12	MSH2_MSH6	No_Splice	Colon	Pancreas	0.568992772209455	1	0.569	ns	Wilcoxon
13	MSH2_MSH6	No_Splice	Colon	Colorectal	0.49895132673296	1	0.499	ns	Wilcoxon
14	MSH2_MSH6	No_Splice	Colon	Prostate	0.374780981716477	1	0.375	ns	Wilcoxon
15	MSH2_MSH6	No_Splice	Colon	Small Bowel	0.187196242654906	1	0.187	ns	Wilcoxon
16	MSH2_MSH6	No_Splice	Colon	Endometrial	0.523530700233954	1	0.524	ns	Wilcoxon
17	MSH2_MSH6	No_Splice	Colon	Rectal	0.520571730686024	1	0.521	ns	Wilcoxon
18	MSH2_MSH6	No_Splice	Colon	Other	0.246176298803336	1	0.246	ns	Wilcoxon
19	MSH2_MSH6	No_Splice	Colon	Ovarian	0.374780981716477	1	0.375	ns	Wilcoxon
20	MSH2_MSH6	No_Splice	Esophagogastric	Pancreas	0.633553475376833	1	0.634	ns	Wilcoxon
21	MSH2_MSH6	No_Splice	Esophagogastric	Colorectal	1	1	1.000	ns	Wilcoxon
22	MSH2_MSH6	No_Splice	Esophagogastric	Prostate	1	1	1.000	ns	Wilcoxon
23	MSH2_MSH6	No_Splice	Esophagogastric	Small Bowel	0.474549143449401	1	0.475	ns	Wilcoxon
24	MSH2_MSH6	No_Splice	Esophagogastric	Endometrial	0.432982276283878	1	0.433	ns	Wilcoxon
25	MSH2_MSH6	No_Splice	Esophagogastric	Rectal	0.715776212736969	1	0.716	ns	Wilcoxon
26	MSH2_MSH6	No_Splice	Esophagogastric	Other	0.787406490666269	1	0.787	ns	Wilcoxon
27	MSH2_MSH6	No_Splice	Esophagogastric	Ovarian	1	1	1.000	ns	Wilcoxon
28	MSH2_MSH6	No_Splice	Pancreas	Colorectal	0.412355183890253	1	0.412	ns	Wilcoxon
29	MSH2_MSH6	No_Splice	Pancreas	Prostate	0.414216178242525	1	0.414	ns	Wilcoxon
30	MSH2_MSH6	No_Splice	Pancreas	Small Bowel	0.617075077451974	1	0.617	ns	Wilcoxon
31	MSH2_MSH6	No_Splice	Pancreas	Endometrial	0.797351470111364	1	0.797	ns	Wilcoxon
32	MSH2_MSH6	No_Splice	Pancreas	Rectal	1	1	1.000	ns	Wilcoxon
33	MSH2_MSH6	No_Splice	Pancreas	Other	0.305507086861254	1	0.306	ns	Wilcoxon
34	MSH2_MSH6	No_Splice	Pancreas	Ovarian	0.414216178242525	1	0.414	ns	Wilcoxon
35	MSH2_MSH6	No_Splice	Colorectal	Prostate	0.834319428858139	1	0.834	ns	Wilcoxon
36	MSH2_MSH6	No_Splice	Colorectal	Small Bowel	0.151408782541429	1	0.151	ns	Wilcoxon
37	MSH2_MSH6	No_Splice	Colorectal	Endometrial	0.276879552050429	1	0.277	ns	Wilcoxon
38	MSH2_MSH6	No_Splice	Colorectal	Rectal	0.342781711147911	1	0.343	ns	Wilcoxon
39	MSH2_MSH6	No_Splice	Colorectal	Other	0.733729995696247	1	0.734	ns	Wilcoxon
40	MSH2_MSH6	No_Splice	Colorectal	Ovarian	0.834319428858139	1	0.834	ns	Wilcoxon
41	MSH2_MSH6	No_Splice	Prostate	Small Bowel	0.220671361919847	1	0.221	ns	Wilcoxon
42	MSH2_MSH6	No_Splice	Prostate	Endometrial	0.231997723628734	1	0.232	ns	Wilcoxon
43	MSH2_MSH6	No_Splice	Prostate	Rectal	0.376462365767638	1	0.376	ns	Wilcoxon
44	MSH2_MSH6	No_Splice	Prostate	Other	1	1	1.000	ns	Wilcoxon
45	MSH2_MSH6	No_Splice	Prostate	Ovarian	1	1	1.000	ns	Wilcoxon
46	MSH2_MSH6	No_Splice	Small Bowel	Endometrial	0.273094512813125	1	0.273	ns	Wilcoxon
47	MSH2_MSH6	No_Splice	Small Bowel	Rectal	0.740144135804575	1	0.740	ns	Wilcoxon
48	MSH2_MSH6	No_Splice	Small Bowel	Other	0.143151589732787	1	0.143	ns	Wilcoxon
49	MSH2_MSH6	No_Splice	Small Bowel	Ovarian	0.220671361919847	1	0.221	ns	Wilcoxon
50	MSH2_MSH6	No_Splice	Endometrial	Rectal	0.92738099439242	1	0.927	ns	Wilcoxon
51	MSH2_MSH6	No_Splice	Endometrial	Other	0.130369828410806	1	0.130	ns	Wilcoxon
52	MSH2_MSH6	No_Splice	Endometrial	Ovarian	0.231997723628734	1	0.232	ns	Wilcoxon
53	MSH2_MSH6	No_Splice	Rectal	Other	0.201992787640168	1	0.202	ns	Wilcoxon
54	MSH2_MSH6	No_Splice	Rectal	Ovarian	0.376462365767638	1	0.376	ns	Wilcoxon
55	MSH2_MSH6	No_Splice	Other	Ovarian	1	1	1.000	ns	Wilcoxon
56	MLH1_PMS2	No_Splice	Colon	Esophagogastric	0.0450860153917358	1	0.045	*	Wilcoxon
57	MLH1_PMS2	No_Splice	Colon	Pancreas	0.880214989910294	1	0.880	ns	Wilcoxon
58	MLH1_PMS2	No_Splice	Colon	Colorectal	0.1153003095305	1	0.115	ns	Wilcoxon
59	MLH1_PMS2	No_Splice	Colon	Biliary	0.370427735067349	1	0.370	ns	Wilcoxon
60	MLH1_PMS2	No_Splice	Colon	Prostate	0.222189401130057	1	0.222	ns	Wilcoxon
61	MLH1_PMS2	No_Splice	Colon	Small Bowel	0.395716994484999	1	0.396	ns	Wilcoxon
62	MLH1_PMS2	No_Splice	Colon	Endometrial	0.0584262775091805	1	0.058	ns	Wilcoxon
63	MLH1_PMS2	No_Splice	Colon	Rectal	0.319291648242801	1	0.319	ns	Wilcoxon
64	MLH1_PMS2	No_Splice	Colon	CUP	0.370427735067349	1	0.370	ns	Wilcoxon
65	MLH1_PMS2	No_Splice	Colon	Other	0.328757138962191	1	0.329	ns	Wilcoxon
66	MLH1_PMS2	No_Splice	Colon	Ovarian	0.222189401130057	1	0.222	ns	Wilcoxon
67	MLH1_PMS2	No_Splice	Esophagogastric	Pancreas	0.660338027339458	1	0.660	ns	Wilcoxon
68	MLH1_PMS2	No_Splice	Esophagogastric	Colorectal	0.815595096287036	1	0.816	ns	Wilcoxon
69	MLH1_PMS2	No_Splice	Esophagogastric	Biliary	0.925848188564791	1	0.926	ns	Wilcoxon
70	MLH1_PMS2	No_Splice	Esophagogastric	Prostate	0.376005684926533	1	0.376	ns	Wilcoxon
71	MLH1_PMS2	No_Splice	Esophagogastric	Small Bowel	0.812264740972406	1	0.812	ns	Wilcoxon
72	MLH1_PMS2	No_Splice	Esophagogastric	Endometrial	0.483706536922269	1	0.484	ns	Wilcoxon
73	MLH1_PMS2	No_Splice	Esophagogastric	Rectal	0.0444108455233895	1	0.044	*	Wilcoxon
74	MLH1_PMS2	No_Splice	Esophagogastric	CUP	0.925848188564791	1	0.926	ns	Wilcoxon
75	MLH1_PMS2	No_Splice	Esophagogastric	Other	0.787730982942321	1	0.788	ns	Wilcoxon
